neighborhood,touches
Natomas Park,"Regency Park,Village 12,Creekside,RP - Sports Complex,Village 5,Heritage Park,Village 7"
New Brighton,"Granite Regional Park,Florin Fruitridge Industrial Park,Depot Park,Belvedere,Power Ridge"
New Era Park,"Mansion Flats,East Sacramento,Boulevard Park,Marshall School"
Newton Booth,"East Sacramento,Midtown / Winn Park / Capital Avenue,Land Park,Richmond Grove,Alhambra Triangle,Curtis Park,North Oak Park"
Noralto,"South Hagginwood,Richardson Village,Wills Acres,Old North Sacramento"
North City Farms,"Curtis Park,Central Oak Park,SCC,South Oak Park,Carleton Tract,South City Farms,Brentwood"
North Oak Park,"Alhambra Triangle,Curtis Park,Med Center,Fairgrounds,Central Oak Park,Newton Booth,West Tahoe Park"
Northgate,"South Natomas,Gardenland,River Gardens"
Northpointe,"Hansen Park Golf Course Site,Robla,Pell/Main Industrial Park,Glenwood Meadows"
Norwood I-80,"Robla,Glenwood Meadows,Norwood Tech,West Del Paso Heights"
Norwood Tech,"Robla,Glenwood Meadows,Oak Knoll,West Del Paso Heights,Norwood I-80"
Oak Knoll,"Pell/Main Industrial Park,Glenwood Meadows,Norwood Tech,West Del Paso Heights,Johnson Heights"
Old North Sacramento,"South Hagginwood,Cannon Industrial Park,Noralto,Erikson Industrial Park,American River Parkway,Woodlake,Johnson Business Park"
Old Sacramento,"Southern Pacific / Richards,Downtown,Southside Park,Land Park"
Parker Homes,"Raley Industrial Park,Youngs Heights,Village Green,East Del Paso Heights,Del Paso Heights"
Parkway,"Woodbine,Meadowview,Valley Hi / North Laguna"
Pell/Main Industrial Park,"Hansen Park Golf Course Site,Robla,Northpointe,Glenwood Meadows,Oak Knoll"
Pocket,"South Land Park,Greenhaven,Meadowview,Z'berg Park"
Point West,"Swanston Estates,Erikson Industrial Park,American River Parkway,Arden Fair,Johnson Business Park,Cal Expo"
Power Ridge,"Colonial Manor,Colonial Village,Florin Fruitridge Industrial Park,Depot Park,Avondale,New Brighton,Elder Creek,Belvedere"
Raley Industrial Park,"Robla,Youngs Heights,Village Green,East Del Paso Heights,Parker Homes"
Ramona Village,"East Sacramento,CSUS,College/Glen,Tahoe Park East,Granite Regional Park,Colonial Manor,Belvedere,College Town"
Regency Park,"Village 12,Heritage Park,Natomas Park"
Richardson Village,"West Del Paso Heights,Hagginwood,Strawberry Manor,South Hagginwood,Wills Acres,Noralto"
Richmond Grove,"Downtown,Midtown / Winn Park / Capital Avenue,Southside Park,Land Park,Newton Booth"
River Gardens,"South Natomas,Gardenland,Northgate,American River Parkway"
River Park,"Cal Expo,East Sacramento,Campus Commons,CSUS"
Robla,"Hansen Park Golf Course Site,Raley Industrial Park,Northpointe,Pell/Main Industrial Park,Glenwood Meadows,Youngs Heights,Del Paso Heights,Norwood Tech,West Del Paso Heights,Norwood I-80"
RP - Sports Complex,"Creekside,Westlake,Village 5,Sundance Lake,Natomas Crossing,Gateway West,Natomas Park"
SCC,"Land Park,Curtis Park,North City Farms,Carleton Tract"
Sierra Oaks,Campus Commons
South City Farms,"North City Farms,Brentwood"
South Hagginwood,"West Del Paso Heights,Hagginwood,Cannon Industrial Park,Richardson Village,Noralto,Old North Sacramento"
South Land Park,"Land Park,Carleton Tract,Little Pocket,Hollywood Park,Mangan Park,Airport,Freeport Manor,Greenhaven,Pocket,Golf Course Terrace,Meadowview,Z'berg Park"
South Natomas,"Natomas Crossing,Gateway West,Gardenland,Northgate,Metro Center,Gateway Center,Natomas Corporate Center,River Gardens,American River Parkway"
South Oak Park,"Curtis Park,Central Oak Park,North City Farms"
Southeast Village,"Fruitridge Manor,Avondale,Glen Elder"
Southern Pacific / Richards,"American River Parkway,Dos Rios Triangle,Alkali Flat,Mansion Flats,Old Sacramento,Downtown"
Southside Park,"Old Sacramento,Downtown,Land Park,Richmond Grove"
Strawberry Manor,"West Del Paso Heights,Johnson Heights,Richardson Village,Wills Acres"
Sundance Lake,"Creekside,Westlake,RP - Sports Complex,Natomas Crossing,Gateway West"
Swanston Estates,"Ben Ali,Erikson Industrial Park,Arden Fair,Point West"
Tahoe Park,"East Sacramento,Elmhurst,Fairgrounds,Tahoe Park East,Colonial Manor,Tahoe Park South,Colonial Heights,West Tahoe Park"
Tahoe Park East,"East Sacramento,Tahoe Park,Colonial Manor,Tahoe Park South,Ramona Village"
Tahoe Park South,"Tahoe Park,Tahoe Park East,Colonial Manor,Colonial Heights,Tallac Village"
Tallac Village,"Colonial Manor,Tahoe Park South,Colonial Heights,Fruitridge Manor"
Upper Land Park,Land Park
Valley Hi / North Laguna,"Parkway,Meadowview"
Valleyview Acres,Village 14
Village 12,"Regency Park,Natomas Park"
Village 14,Valleyview Acres
Village 5,"RP - Sports Complex,Natomas Crossing,Natomas Park"
Village 7,"Natomas Creek,Creekside,Heritage Park,Natomas Park"
Village Green,"Raley Industrial Park,East Del Paso Heights,Parker Homes"
West Del Paso Heights,"Robla,Del Paso Heights,Oak Knoll,Norwood Tech,Norwood I-80,Johnson Heights,Hagginwood,Strawberry Manor,South Hagginwood,Richardson Village,Wills Acres"
West Tahoe Park,"North Oak Park,Tahoe Park,Fairgrounds,Central Oak Park,Colonial Heights"
Westlake,"Creekside,RP - Sports Complex,Sundance Lake,Greenbriar"
Willowcreek,"Gateway West,Metro Center"
Wills Acres,"West Del Paso Heights,Strawberry Manor,Richardson Village,Noralto"
Woodbine,"Brentwood,Airport,Golf Course Terrace,Parkway,Meadowview"
Woodlake,"Old North Sacramento,Erikson Industrial Park,American River Parkway,Johnson Business Park"
Youngs Heights,"Robla,Raley Industrial Park,East Del Paso Heights,Parker Homes,Del Paso Heights"
Z'berg Park,"South Land Park,Greenhaven,Pocket,Golf Course Terrace,Meadowview"
