neighborhood,total.crime.statement,total.crime.number,total.crime.change.statement,total.crime.city.statement,total.crime.city.change.statement
Village 14,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Village 5,There were 6 crimes recorded during the month of June.,6,That's down 4 from the previous month's total of 10.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Village 7,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Village Green,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
West Del Paso Heights,There were 18 crimes recorded during the month of June.,18,That's up 7 from the previous month's total of 11.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
West Tahoe Park,There were 5 crimes recorded during the month of June.,5,That's no change from the previous month's total of 5.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Westlake,There were 3 crimes recorded during the month of June.,3,That's down 4 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Willowcreek,There were 29 crimes recorded during the month of June.,29,That's down 1 from the previous month's total of 30.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Wills Acres,There were 6 crimes recorded during the month of June.,6,That's down 4 from the previous month's total of 10.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Woodbine,There were 25 crimes recorded during the month of June.,25,That's up 4 from the previous month's total of 21.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Woodlake,There were 4 crimes recorded during the month of June.,4,That's down 2 from the previous month's total of 6.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Youngs Heights,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Z'berg Park,There were 8 crimes recorded during the month of June.,8,That's up 3 from the previous month's total of 5.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
